Name_of_Space_Object,International_Designator,National_Designator_s1,Launch_Date,Launching_State,Launch_Site,Launch_Vehicle,Basic_Perigee,Basic_Apogee,Basic_Inclination,Current_Function,Status
,2025-057A,,2025-03-18,,,,,,,,in orbit
,2025-057B,,2025-03-18,,,,,,,,in orbit
,2025-057C,,2025-03-18,,,,,,,,in orbit
,2025-057D,,2025-03-18,,,,,,,,in orbit
,2025-057E,,2025-03-18,,,,,,,,in orbit
,2025-057F,,2025-03-18,,,,,,,,in orbit
,2025-057G,,2025-03-18,,,,,,,,in orbit
,2025-057H,,2025-03-18,,,,,,,,in orbit
,2025-057J,,2025-03-18,,,,,,,,in orbit
,2025-057L,,2025-03-18,,,,,,,,in orbit
,2025-057M,,2025-03-18,,,,,,,,in orbit
,2025-057N,,2025-03-18,,,,,,,,in orbit
,2025-057P,,2025-03-18,,,,,,,,in orbit
,2025-057Q,,2025-03-18,,,,,,,,in orbit
,2025-057S,,2025-03-18,,,,,,,,in orbit
,2025-057K,,2025-03-18,,,,,,,,in orbit
,2025-057R,,2025-03-18,,,,,,,,in orbit
,2025-057W,,2025-03-18,,,,,,,,in orbit
,2025-057U,,2025-03-18,,,,,,,,in orbit
,2025-057T,,2025-03-18,,,,,,,,in orbit
,2025-057V,,2025-03-18,,,,,,,,in orbit
,2025-057X,,2025-03-18,,,,,,,,in orbit
,2025-057Y,,2025-03-18,,,,,,,,in orbit
Cosmos-2585,2025-054A,3799-2025-004,2025-03-16,,,,,,,,in orbit
Cosmos-2586,2025-054B,3800-2025-004,2025-03-16,,,,,,,,in orbit
Cosmos-2587,2025-054C,3801-2025-004,2025-03-16,,,,,,,,in orbit
,2025-053A,,2025-03-15,,,,,,,,in orbit
,2025-053C,,2025-03-15,,,,,,,,in orbit
,2025-053B,,2025-03-15,,,,,,,,in orbit
,2025-053D,,2025-03-15,,,,,,,,in orbit
,2025-053E,,2025-03-15,,,,,,,,in orbit
,2025-053F,,2025-03-15,,,,,,,,in orbit
,2025-053G,,2025-03-15,,,,,,,,in orbit
,2025-053H,,2025-03-15,,,,,,,,in orbit
,2025-053J,,2025-03-15,,,,,,,,in orbit
,2025-053K,,2025-03-15,,,,,,,,in orbit
,2025-053L,,2025-03-15,,,,,,,,in orbit
,2025-053M,,2025-03-15,,,,,,,,in orbit
,2025-053N,,2025-03-15,,,,,,,,in orbit
,2025-053R,,2025-03-15,,,,,,,,in orbit
,2025-053V,,2025-03-15,,,,,,,,in orbit
,2025-053P,,2025-03-15,,,,,,,,in orbit
,2025-053Q,,2025-03-15,,,,,,,,in orbit
,2025-053S,,2025-03-15,,,,,,,,in orbit
,2025-053T,,2025-03-15,,,,,,,,in orbit
,2025-053U,,2025-03-15,,,,,,,,in orbit
,2025-053W,,2025-03-15,,,,,,,,in orbit
,2025-053X,,2025-03-15,,,,,,,,in orbit
,2025-053Y,,2025-03-15,,,,,,,,in orbit
Etihad-Sat,2025-052S,,2025-03-15,,,,,,,,in orbit
AlMunther,2025-052*,BSA-2025-001,2025-03-15,,,,,,,,in orbit
,2025-048H,,2025-03-13,,,,,,,,in orbit
,2025-048J,,2025-03-13,,,,,,,,in orbit
